asset,market_id,market_slug,token_id,lag_hours,signal_time_ns,entry_time_ns,exit_time_ns,side,notional_usd,probability_change,gross_return,net_return,pnl_usd
ETH,1299187,megaeth-market-cap-fdv-1pt5b-one-day-after-launch-371-844-879-681,59361386662140736273790755583050126642583489495616165418126619457111736694733,4,1777039200000000000,1777042800000000000,1777057200000000000,1,10.0,0.0,-0.0009510243952819408,-0.004951024395281941,-0.04951024395281941
ETH,1299187,megaeth-market-cap-fdv-1pt5b-one-day-after-launch-371-844-879-681,59361386662140736273790755583050126642583489495616165418126619457111736694733,4,1777111200000000000,1777114800000000000,1777129200000000000,-1,10.0,0.0,0.002398817447830992,-0.001601182552169008,-0.01601182552169008
ETH,1299187,megaeth-market-cap-fdv-1pt5b-one-day-after-launch-371-844-879-681,59361386662140736273790755583050126642583489495616165418126619457111736694733,4,1777114800000000000,1777118400000000000,1777132800000000000,-1,10.0,-0.019999999999999907,0.0017375894188584873,-0.002262410581141513,-0.022624105811415128
ETH,1299187,megaeth-market-cap-fdv-1pt5b-one-day-after-launch-371-844-879-681,59361386662140736273790755583050126642583489495616165418126619457111736694733,4,1777118400000000000,1777122000000000000,1777136400000000000,1,10.0,0.009999999999999898,-0.0029746357258498834,-0.0069746357258498835,-0.06974635725849884
ETH,1299187,megaeth-market-cap-fdv-1pt5b-one-day-after-launch-371-844-879-681,59361386662140736273790755583050126642583489495616165418126619457111736694733,4,1777122000000000000,1777125600000000000,1777140000000000000,1,10.0,-0.009999999999999898,-0.0019300351465012522,-0.005930035146501252,-0.05930035146501252
ETH,1299187,megaeth-market-cap-fdv-1pt5b-one-day-after-launch-371-844-879-681,59361386662140736273790755583050126642583489495616165418126619457111736694733,4,1777125600000000000,1777129200000000000,1777143600000000000,1,10.0,0.0,0.000853519576792916,-0.003146480423207084,-0.03146480423207084
ETH,1299187,megaeth-market-cap-fdv-1pt5b-one-day-after-launch-371-844-879-681,59361386662140736273790755583050126642583489495616165418126619457111736694733,4,1777129200000000000,1777132800000000000,1777147200000000000,1,10.0,0.0,0.0015890679055909906,-0.0024109320944090094,-0.024109320944090094
ETH,1299187,megaeth-market-cap-fdv-1pt5b-one-day-after-launch-371-844-879-681,59361386662140736273790755583050126642583489495616165418126619457111736694733,4,1777132800000000000,1777136400000000000,1777150800000000000,1,10.0,0.0,0.002788651401254061,-0.0012113485987459392,-0.012113485987459392
ETH,1299187,megaeth-market-cap-fdv-1pt5b-one-day-after-launch-371-844-879-681,59361386662140736273790755583050126642583489495616165418126619457111736694733,4,1777136400000000000,1777140000000000000,1777154400000000000,1,10.0,0.0,0.002682182950833667,-0.001317817049166333,-0.013178170491663331
ETH,1299187,megaeth-market-cap-fdv-1pt5b-one-day-after-launch-371-844-879-681,59361386662140736273790755583050126642583489495616165418126619457111736694733,4,1777140000000000000,1777143600000000000,1777158000000000000,1,10.0,0.0,0.00408647394439976,8.647394439975989e-05,0.0008647394439975989
