asset,market_id,market_slug,token_id,lag_hours,signal_time_ns,entry_time_ns,exit_time_ns,side,notional_usd,probability_change,gross_return,net_return,pnl_usd
BTC,692258,microstrategy-sells-any-bitcoin-by-june-30-2026,110251828161543119357013227499774714771527179764174739487025581227481937033858,1,1774692000000000000,1774695600000000000,1774699200000000000,-1,10.0,0.0015000000000000013,-0.0020449499973385077,-0.006044949997338508,-0.06044949997338508
BTC,692258,microstrategy-sells-any-bitcoin-by-june-30-2026,110251828161543119357013227499774714771527179764174739487025581227481937033858,1,1774753200000000000,1774756800000000000,1774760400000000000,1,10.0,-0.0015000000000000013,0.0005514336225262984,-0.0034485663774737017,-0.03448566377473702
BTC,692258,microstrategy-sells-any-bitcoin-by-june-30-2026,110251828161543119357013227499774714771527179764174739487025581227481937033858,1,1774767600000000000,1774771200000000000,1774774800000000000,1,10.0,-0.003499999999999996,-0.0013486901264913032,-0.005348690126491303,-0.05348690126491303
BTC,692258,microstrategy-sells-any-bitcoin-by-june-30-2026,110251828161543119357013227499774714771527179764174739487025581227481937033858,1,1774832400000000000,1774836000000000000,1774839600000000000,1,10.0,-0.0030000000000000027,0.000786489952997016,-0.003213510047002984,-0.03213510047002984
BTC,692258,microstrategy-sells-any-bitcoin-by-june-30-2026,110251828161543119357013227499774714771527179764174739487025581227481937033858,1,1774857600000000000,1774861200000000000,1774864800000000000,-1,10.0,0.0020000000000000018,0.0001026735724152239,-0.003897326427584776,-0.03897326427584776
BTC,692258,microstrategy-sells-any-bitcoin-by-june-30-2026,110251828161543119357013227499774714771527179764174739487025581227481937033858,1,1774886400000000000,1774890000000000000,1774893600000000000,-1,10.0,0.0010000000000000009,0.0026120779876465106,-0.0013879220123534895,-0.013879220123534895
BTC,692258,microstrategy-sells-any-bitcoin-by-june-30-2026,110251828161543119357013227499774714771527179764174739487025581227481937033858,1,1774911600000000000,1774915200000000000,1774918800000000000,1,10.0,-0.0010000000000000009,0.010858556363568583,0.006858556363568583,0.06858556363568583
BTC,692258,microstrategy-sells-any-bitcoin-by-june-30-2026,110251828161543119357013227499774714771527179764174739487025581227481937033858,1,1774969200000000000,1774972800000000000,1774976400000000000,-1,10.0,0.0010000000000000009,0.0020553948721238058,-0.0019446051278761943,-0.019446051278761943
BTC,692258,microstrategy-sells-any-bitcoin-by-june-30-2026,110251828161543119357013227499774714771527179764174739487025581227481937033858,1,1775055600000000000,1775059200000000000,1775062800000000000,-1,10.0,0.0015000000000000013,0.00798821907703895,0.003988219077038949,0.03988219077038949
BTC,692258,microstrategy-sells-any-bitcoin-by-june-30-2026,110251828161543119357013227499774714771527179764174739487025581227481937033858,1,1775142000000000000,1775145600000000000,1775149200000000000,1,10.0,-0.0010000000000000009,-0.006210369195710386,-0.010210369195710386,-0.10210369195710386
BTC,692258,microstrategy-sells-any-bitcoin-by-june-30-2026,110251828161543119357013227499774714771527179764174739487025581227481937033858,1,1775214000000000000,1775217600000000000,1775221200000000000,1,10.0,-0.0015000000000000013,-0.0007517742231366586,-0.004751774223136659,-0.04751774223136659
BTC,692258,microstrategy-sells-any-bitcoin-by-june-30-2026,110251828161543119357013227499774714771527179764174739487025581227481937033858,1,1775242800000000000,1775246400000000000,1775250000000000000,1,10.0,-0.0024999999999999988,0.0019785438049271242,-0.002021456195072876,-0.02021456195072876
BTC,692258,microstrategy-sells-any-bitcoin-by-june-30-2026,110251828161543119357013227499774714771527179764174739487025581227481937033858,1,1775250000000000000,1775253600000000000,1775257200000000000,-1,10.0,0.002999999999999999,-0.001129337724305346,-0.005129337724305346,-0.05129337724305346
BTC,692258,microstrategy-sells-any-bitcoin-by-june-30-2026,110251828161543119357013227499774714771527179764174739487025581227481937033858,1,1775286000000000000,1775289600000000000,1775293200000000000,1,10.0,-0.0010000000000000009,0.0007178069913356122,-0.003282193008664388,-0.03282193008664388
BTC,692258,microstrategy-sells-any-bitcoin-by-june-30-2026,110251828161543119357013227499774714771527179764174739487025581227481937033858,1,1775322000000000000,1775325600000000000,1775329200000000000,-1,10.0,0.0025000000000000022,0.00010476188070318582,-0.0038952381192968143,-0.03895238119296814
