rank,asset,market_id,market_slug,token_id,question,lag_hours,robustness_grade,simulation_grade,trade_count,win_rate,average_gross_return,average_net_return,total_paper_pnl,max_drawdown,sharpe_like_hourly,exposure_utilization,best_trade_pnl,worst_trade_pnl,skipped_tiny_signal,skipped_exposure_cap
1,BTC,692258,microstrategy-sells-any-bitcoin-by-june-30-2026,110251828161543119357013227499774714771527179764174739487025581227481937033858,"MicroStrategy sells any Bitcoin by June 30, 2026?",1,PROMISING,REJECTED,47,0.1276595744680851,0.0005714992406304743,-0.0034285007593695257,-1.6113953569036772,1.6113953569036426,-0.7417204612267881,0.2,0.10522179028649606,-0.21126532428967112,309,0
2,BTC,948957,bitcoin-all-time-high-by-september-30-2026,50388900663189748675936681554126016850520413670342348778716337126803310768728,"Bitcoin all time high by September 30, 2026?",1,PROMISING,REJECTED,54,0.09259259259259259,8.012152730381262e-05,-0.003919878472696188,-2.116734375255941,2.116734375255959,-1.1904307843513502,0.2,0.026770611394310063,-0.13088850651811199,249,0
3,SOL,1823881,will-solana-reach-160-in-april-2026,2239666445220242421622333852346062404205114740031545382107437837927896782621,Will Solana reach $160 in April?,4,PROMISING,REJECTED,49,0.1836734693877551,-0.0013413879123376103,-0.00534138791233761,-2.617280077045429,2.7591847960480322,-0.5229313552465261,0.2,0.19823704586063198,-0.294878048780488,374,0
4,BTC,701495,will-bitcoin-reach-110000-by-december-31-2026-658-339-969,74843373582432484858627201602003648342208168490128239235522790524493414154441,"Will Bitcoin reach $110,000 by December 31, 2026?",1,WATCHLIST,REJECTED,157,0.12738853503184713,0.0005471894558867229,-0.003452810544113277,-5.420912554257845,5.420912554257853,-0.8453374542781599,0.2,0.15653404298524579,-0.1673884681964288,409,0
5,ETH,1823794,will-ethereum-reach-3000-in-april-2026,98694887273478515891138203442549017191281454470497426834485838288268569808164,"Will Ethereum reach $3,000 in April?",1,WATCHLIST,REJECTED,138,0.15942028985507245,-0.00021770153492112922,-0.00421770153492113,-5.820428118191159,5.820428118191074,-0.763690855990496,0.2,0.09736733263830735,-0.33168052079869614,263,0
