market_id,market_slug,asset,is_active,is_closed,is_archived,volume_1mo_usd,volume_total_usd,wallet_flow_rows,trade_rows,copy_rows,market_flow_hourly_rows,whale_flow_hourly_rows,observed_flow_hours,first_flow_hour_ns,last_flow_hour_ns,coverage_span_hours,continuity_ratio,missing_hours_estimate,recent_coverage,coverage_need
1295996,will-march-be-the-best-month-for-bitcoin-in-2026,BTC,True,False,False,43481.927843000005,51695.973245000016,4,4,0,2,2,2,1776747600000000000,1777356000000000000,169,0.0118,168,False,depth
1295998,will-may-be-the-best-month-for-bitcoin-in-2026,BTC,True,False,False,1075.336964,6280.931613999998,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1295999,will-june-be-the-best-month-for-bitcoin-in-2026,BTC,True,False,False,1518.040074,6762.156226000001,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1296000,will-july-be-the-best-month-for-bitcoin-in-2026,BTC,True,False,False,0.0,5772.726141,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1296001,will-august-be-the-best-month-for-bitcoin-in-2026,BTC,True,False,False,0.0,5610.986357000001,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1296002,will-september-be-the-best-month-for-bitcoin-in-2026,BTC,True,False,False,0.0,5825.369182000001,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1297883,xrp-updown-15m-1769845500,XRP,True,True,False,0.0,9997.89389,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1299187,megaeth-market-cap-fdv-1pt5b-one-day-after-launch-371-844-879-681,ETH,True,False,False,639216.1464780001,977356.135069998,850,848,2,67,66,67,1776589200000000000,1777636800000000000,291,0.2295,225,False,continuity_repair
1299759,xrp-above-1pt3-on-february-6,XRP,True,True,False,99678.00816899998,99678.008169,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1308008,bitcoin-up-or-down-february-2-11am-et,BTC,True,True,False,998475.0938579983,998475.093858,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1309382,xrp-updown-15m-1769972400,XRP,True,True,False,0.0,9993.970954,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1320351,will-the-price-of-bitcoin-be-between-72000-74000-on-february-9,BTC,True,True,False,99866.65797600009,99866.657976,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1339767,will-bitcoin-dip-to-50000-by-december-31-2026-454-325-222-878-949-487-451,BTC,True,False,False,527093.6617549995,976986.0578079995,146,146,0,36,36,36,1774256400000000000,1777964400000000000,1030,0.0349,995,True,continuity_repair
1339768,will-bitcoin-dip-to-40000-by-december-31-2026-593-522-842-874-931-776-991,BTC,True,False,False,228944.09493099994,541020.6500200006,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1340780,bitmine-sells-any-ethereum-in-2026,ETH,True,False,False,0.0,6699.327215000004,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1343220,will-bitcoin-dip-to-10000-by-december-31-2026-888-644-567-258-946-853,BTC,True,False,False,128366.06960099985,587768.5092110005,428,428,0,38,38,38,1770451200000000000,1777420800000000000,1936,0.0196,1899,False,continuity_repair
1343228,will-bitcoin-dip-to-5000-by-december-31-2026-jy3n-991-141-345-117-196-482,BTC,True,False,False,175769.44759500012,523020.8825120004,18,18,0,6,6,6,1773086400000000000,1777874400000000000,1330,0.0045,1325,False,depth
1345530,will-bitcoin-reach-80000-by-december-31-2026-195-842-488-785,BTC,True,False,False,380138.4501960006,726369.6102039948,94,94,0,31,28,31,1774008000000000000,1777881600000000000,1076,0.0288,1046,False,continuity_repair
1345824,bitcoin-above-72k-on-february-13,BTC,True,True,False,999989.6555089994,999989.655509,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1360309,will-the-price-of-solana-be-between-90-100-on-february-16,SOL,True,True,False,9972.183246999999,9972.183247,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1363333,eth-updown-15m-1770828300,ETH,True,True,False,99811.10264599991,99811.102646,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1366407,eth-updown-15m-1770913800,ETH,True,True,False,99657.00528599991,99657.005286,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1367237,btc-updown-4h-1770930000,BTC,True,True,False,99939.174556,99939.174556,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1368105,btc-updown-5m-1770943500,BTC,True,True,False,99752.211628,99752.211628,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1368658,xrp-updown-15m-1770969600,XRP,True,True,False,0.0,9996.818976,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1368757,btc-updown-5m-1770973200,BTC,True,True,False,99701.38707800006,99701.387078,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1372718,btc-updown-5m-1771077900,BTC,True,True,False,0.0,99730.535892,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1373744,megaeth-market-cap-fdv-800m-one-day-after-launch-987-114-655,ETH,True,False,False,877204.2648909992,991872.7928130007,203,203,0,34,34,34,1776261600000000000,1777590000000000000,369,0.0919,336,False,continuity_repair
1377154,xrp-updown-15m-1771169400,XRP,True,True,False,0.0,9971.196133,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1383662,will-megaeth-launch-a-token-by-june-30-2026-676-993-477,ETH,True,False,False,564560.6366819998,652326.0693849989,401,399,2,37,37,37,1774342800000000000,1777554000000000000,892,0.0414,856,False,continuity_repair
1383663,will-megaeth-launch-a-token-by-september-30-2026-936-122-154,ETH,True,False,False,64461.043712000006,68682.129297,26,26,0,6,6,6,1776956400000000000,1777158000000000000,56,0.1053,51,False,depth
1384039,will-solana-dip-to-80-february-16-22,SOL,True,True,False,99673.20869999999,99673.2087,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1384632,btc-updown-5m-1771315200,BTC,True,True,False,99911.79594200001,99911.795942,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1386992,btc-updown-5m-1771367100,BTC,True,True,False,99796.669468,99796.669468,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1388038,btc-updown-5m-1771399200,BTC,True,True,False,0.0,99916.234661,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1390823,xrp-updown-15m-1771459200,XRP,True,True,False,9971.414232000001,9971.414232,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1391643,ethereum-up-or-down-february-20-3am-et,ETH,True,True,False,99945.8911619999,99945.891162,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1391895,btc-updown-5m-1771495800,BTC,True,True,False,99633.52556200011,99633.525562,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1393070,will-bitcoin-reach-1000000-by-december-31-2026-946,BTC,True,False,False,417855.04961500067,999768.2219180046,36,36,0,14,14,14,1772193600000000000,1777449600000000000,1460,0.0096,1447,False,depth
1393658,eth-updown-5m-1771463700,ETH,True,True,False,0.0,9974.368597,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1394018,sol-updown-5m-1771488300,SOL,True,True,False,0.0,998.057758,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1396633,btc-updown-5m-1771576800,BTC,True,True,False,99949.00981699994,99949.009817,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1396636,sol-updown-15m-1771577100,SOL,True,True,False,9987.287280999997,9987.287281,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1396783,btc-updown-4h-1771578000,BTC,True,True,False,99810.93362999997,99810.93363,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1396824,btc-updown-5m-1771579800,BTC,True,True,False,99970.03541299987,99970.035413,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1399195,btc-updown-5m-1771617000,BTC,True,True,False,99923.66873599989,99923.668736,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1399448,btc-updown-15m-1771623900,BTC,True,True,False,0.0,99868.766554,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1400398,xrp-updown-5m-1771636200,XRP,True,True,False,0.0,997.135582,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1400745,sol-updown-5m-1771648500,SOL,True,True,False,0.0,998.860041,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1400748,btc-updown-5m-1771648500,BTC,True,True,False,99895.22731300011,99895.227313,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1401172,btc-updown-5m-1771653900,BTC,True,True,False,99708.66143999991,99708.66144,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1401850,eth-updown-5m-1771673400,ETH,True,True,False,0.0,9991.399758,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1402535,eth-updown-5m-1771688400,ETH,True,True,False,0.0,9966.862993,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1403697,btc-updown-5m-1771708800,BTC,True,True,False,99648.78008999991,99648.78009,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1403809,sol-updown-15m-1771712100,SOL,True,True,False,0.0,9972.107651,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1404376,sol-updown-15m-1771715700,SOL,True,True,False,9980.086917999999,9980.086918,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1407831,xrp-updown-5m-1771770600,XRP,True,True,False,0.0,996.841883,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1410451,btc-updown-5m-1771799100,BTC,True,True,False,99717.68480799992,99717.684808,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1411491,eth-updown-5m-1771805700,ETH,True,True,False,9984.005506000003,9984.005506,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1412931,xrp-updown-15m-1771827300,XRP,True,True,False,0.0,9974.184723,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1413795,btc-updown-5m-1771845300,BTC,True,True,False,99862.02022599988,99862.020226,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1413804,btc-updown-5m-1771845600,BTC,True,True,False,0.0,99668.165393,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1413838,btc-updown-15m-1771847100,BTC,True,True,False,0.0,99942.208199,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1424304,eth-updown-5m-1772000700,ETH,True,True,False,0.0,9982.145602,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1427970,solana-above-30-on-march-3,SOL,True,True,False,9968.715378,9968.715378,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1431572,btc-updown-5m-1772069700,BTC,True,True,False,99697.15720400009,99697.157204,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1433045,btc-updown-15m-1772086500,BTC,True,True,False,0.0,99988.474869,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1433157,btc-updown-5m-1772089200,BTC,True,True,False,0.0,99824.551096,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1433977,btc-updown-15m-1772101800,BTC,True,True,False,0.0,99773.487175,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1434547,eth-updown-5m-1772106900,ETH,True,True,False,0.0,9968.766675,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1442633,btc-updown-5m-1772172600,BTC,True,True,False,0.0,99792.184178,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1447230,sol-updown-15m-1772199000,SOL,True,True,False,0.0,9985.526809,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1447727,eth-updown-5m-1772205000,ETH,True,True,False,0.0,9998.172084,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1449418,sol-updown-15m-1772218800,SOL,True,True,False,0.0,9995.051442,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1451170,eth-updown-5m-1772234100,ETH,True,True,False,9982.910785000004,9977.910785,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1454718,eth-updown-5m-1772291700,ETH,True,True,False,0.0,9972.938353,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1462525,xrp-up-or-down-march-1-11pm-et,XRP,True,True,False,9980.859736,9980.859736,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1464674,xrp-updown-5m-1772357100,XRP,True,True,False,0.0,999.967406,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1467668,sol-updown-15m-1772387100,SOL,True,True,False,0.0,9969.008107,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1468054,eth-updown-5m-1772390700,ETH,True,True,False,0.0,9979.633395,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1471952,sol-updown-5m-1772410800,SOL,True,True,False,9976.598173999995,9976.598174,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
1472388,btc-updown-5m-1772419800,BTC,True,True,False,99992.21890799995,99977.051854,0,0,0,0,0,0,,,0,0.0000,0,False,breadth
